dish_id,total_calories,total_mass,ingredients,split,ingr_ids,ingredients_text
dish_1563468269,129.01001,302.0,ingr_0000000013;ingr_0000000121;ingr_0000000038,train,"[13, 121, 38]",berries watermelon pineapple
dish_1558380557,699.320068,212.0,ingr_0000000440;ingr_0000000077;ingr_0000000039,train,"[440, 77, 39]",grapes almonds sausage
dish_1562873028,280.3414,320.0,ingr_0000000538;ingr_0000000524;ingr_0000000539;ingr_0000000161;ingr_0000000471;ingr_0000000527;ingr_0000000049;ingr_0000000312;ingr_0000000291;ingr_0000000047;ingr_0000000515;ingr_0000000434;ingr_0000000043;ingr_0000000034;ingr_0000000045;ingr_0000000472;ingr_0000000122;ingr_0000000367,train,"[538, 524, 539, 161, 471, 527, 49, 312, 291, 47, 515, 434, 43, 34, 45, 472, 122, 367]",jicama parsley nopales olive oil cherry tomatoes chive fish pepper salt corn arugula sour cream green beans celery carrot couscous garlic lime
dish_1558637769,80.079994,154.0,ingr_0000000054,train,[54],apple
dish_1558724959,581.441956,426.0,ingr_0000000016;ingr_0000000045;ingr_0000000077;ingr_0000000054,train,"[16, 45, 77, 54]",brussels sprouts carrot almonds apple
dish_1558115867,132.962997,23.0,ingr_0000000077,train,[77],almonds
dish_1561580370,126.795876,124.0,ingr_0000000036;ingr_0000000514;ingr_0000000052;ingr_0000000471;ingr_0000000074;ingr_0000000532;ingr_0000000006;ingr_0000000094,train,"[36, 514, 52, 471, 74, 532, 6, 94]",spinach (raw) wheat berry cheese cherry tomatoes pasta pesto caesar salad onions
dish_1561061658,226.000137,227.0,ingr_0000000306;ingr_0000000312;ingr_0000000148;ingr_0000000016;ingr_0000000526;ingr_0000000122;ingr_0000000072;ingr_0000000524;ingr_0000000291;ingr_0000000133;ingr_0000000515;ingr_0000000161;ingr_0000000520;ingr_0000000140;ingr_0000000473;ingr_0000000153;ingr_0000000054,train,"[306, 312, 148, 16, 526, 122, 72, 524, 291, 133, 515, 161, 520, 140, 473, 153, 54]",croutons pepper parmesan cheese brussels sprouts mustard greens garlic kale parsley salt shallots arugula olive oil lemon juice caesar dressing cranberries bulgur apple
dish_1559838402,222.759506,233.0,ingr_0000000004;ingr_0000000437;ingr_0000000192;ingr_0000000013,train,"[4, 437, 192, 13]",bacon sweet potato yam berries
dish_1564686832,829.737549,392.0,ingr_0000000094;ingr_0000000257;ingr_0000000012;ingr_0000000244;ingr_0000000291;ingr_0000000367;ingr_0000000471;ingr_0000000011;ingr_0000000030;ingr_0000000312;ingr_0000000029;ingr_0000000161;ingr_0000000189;ingr_0000000031,train,"[94, 257, 12, 244, 291, 367, 471, 11, 30, 312, 29, 161, 189, 31]",onions brownies olives chicken breast salt lime cherry tomatoes cheese pizza lettuce pepper mixed greens olive oil vinegar cucumbers
dish_1561753238,298.034393,333.0,ingr_0000000161;ingr_0000000515;ingr_0000000023;ingr_0000000312;ingr_0000000021;ingr_0000000072;ingr_0000000332;ingr_0000000524;ingr_0000000122;ingr_0000000520;ingr_0000000291;ingr_0000000522;ingr_0000000518;ingr_0000000031,train,"[161, 515, 23, 312, 21, 72, 332, 524, 122, 520, 291, 522, 518, 31]",olive oil arugula brown rice pepper squash kale salmon parsley garlic lemon juice salt tatsoi thyme cucumbers
dish_1566938026,450.576294,219.0,ingr_0000000511;ingr_0000000092;ingr_0000000011;ingr_0000000291;ingr_0000000520;ingr_0000000021;ingr_0000000335;ingr_0000000046;ingr_0000000155;ingr_0000000161;ingr_0000000377;ingr_0000000122;ingr_0000000133,train,"[511, 92, 11, 291, 520, 21, 335, 46, 155, 161, 377, 122, 133]",spinach (cooked) wine cheese pizza salt lemon juice squash eggplant mushroom chicken thighs olive oil quinoa garlic shallots
dish_1559751801,451.635986,343.0,ingr_0000000013;ingr_0000000192;ingr_0000000179;ingr_0000000510,train,"[13, 192, 179, 510]",berries yam eggs chicken apple sausage
dish_1564000490,532.706482,325.0,ingr_0000000312;ingr_0000000515;ingr_0000000341;ingr_0000000006;ingr_0000000441;ingr_0000000133;ingr_0000000011;ingr_0000000291;ingr_0000000122;ingr_0000000520;ingr_0000000521;ingr_0000000046;ingr_0000000514;ingr_0000000519;ingr_0000000518;ingr_0000000161;ingr_0000000516;ingr_0000000428;ingr_0000000028,train,"[312, 515, 341, 6, 441, 133, 11, 291, 122, 520, 521, 46, 514, 519, 518, 161, 516, 428, 28]",pepper arugula cream caesar salad butter shallots cheese pizza salt garlic lemon juice basil mushroom wheat berry oregano thyme olive oil rosemary white wine chicken
dish_1564000459,485.186493,217.0,ingr_0000000441;ingr_0000000514;ingr_0000000518;ingr_0000000161;ingr_0000000516;ingr_0000000520;ingr_0000000011;ingr_0000000133;ingr_0000000122;ingr_0000000291;ingr_0000000428;ingr_0000000312;ingr_0000000341;ingr_0000000046;ingr_0000000515;ingr_0000000519;ingr_0000000521;ingr_0000000028,train,"[441, 514, 518, 161, 516, 520, 11, 133, 122, 291, 428, 312, 341, 46, 515, 519, 521, 28]",butter wheat berry thyme olive oil rosemary lemon juice cheese pizza shallots garlic salt white wine pepper cream mushroom arugula oregano basil chicken
dish_1558457530,16.0,64.0,ingr_0000000007,train,[7],cauliflower
dish_1558723449,74.360001,143.0,ingr_0000000054,train,[54],apple
dish_1567628157,373.190979,355.0,ingr_0000000535;ingr_0000000049;ingr_0000000054;ingr_0000000515;ingr_0000000094;ingr_0000000517;ingr_0000000534;ingr_0000000473;ingr_0000000520;ingr_0000000122;ingr_0000000291;ingr_0000000524;ingr_0000000072;ingr_0000000161;ingr_0000000526;ingr_0000000133;ingr_0000000153,train,"[535, 49, 54, 515, 94, 517, 534, 473, 520, 122, 291, 524, 72, 161, 526, 133, 153]",green onions fish apple arugula onions chard country rice cranberries lemon juice garlic salt parsley kale olive oil mustard greens shallots bulgur
dish_1565728415,194.42775,80.0,ingr_0000000011;ingr_0000000133;ingr_0000000511;ingr_0000000094;ingr_0000000161;ingr_0000000189;ingr_0000000513;ingr_0000000291;ingr_0000000525;ingr_0000000025,train,"[11, 133, 511, 94, 161, 189, 513, 291, 525, 25]",cheese pizza shallots spinach (cooked) onions olive oil vinegar millet salt bok choy beef
dish_1565383026,171.559998,287.0,ingr_0000000036;ingr_0000000031;ingr_0000000012,train,"[36, 31, 12]",spinach (raw) cucumbers olives
dish_1558642089,39.360001,96.0,ingr_0000000045,train,[45],carrot
dish_1562959732,374.663696,232.0,ingr_0000000291;ingr_0000000508;ingr_0000000525;ingr_0000000462;ingr_0000000162;ingr_0000000312;ingr_0000000122;ingr_0000000328;ingr_0000000026,train,"[291, 508, 525, 462, 162, 312, 122, 328, 26]",salt soy sauce bok choy pork parsnips pepper garlic sugar white rice
dish_1560368972,196.840424,107.0,ingr_0000000462;ingr_0000000471;ingr_0000000122;ingr_0000000133;ingr_0000000026;ingr_0000000291;ingr_0000000094;ingr_0000000521;ingr_0000000161;ingr_0000000023;ingr_0000000189;ingr_0000000312;ingr_0000000027;ingr_0000000520;ingr_0000000524,train,"[462, 471, 122, 133, 26, 291, 94, 521, 161, 23, 189, 312, 27, 520, 524]",pork cherry tomatoes garlic shallots white rice salt onions basil olive oil brown rice vinegar pepper broccoli lemon juice parsley
dish_1561576590,29.231468,101.0,ingr_0000000021;ingr_0000000161;ingr_0000000291,train,"[21, 161, 291]",squash olive oil salt
dish_1558723866,14.75,59.0,ingr_0000000007,train,[7],cauliflower
dish_1564778030,504.417786,283.0,ingr_0000000513;ingr_0000000511;ingr_0000000189;ingr_0000000094;ingr_0000000011;ingr_0000000027;ingr_0000000525;ingr_0000000029;ingr_0000000133;ingr_0000000035;ingr_0000000025;ingr_0000000161;ingr_0000000126;ingr_0000000122;ingr_0000000124;ingr_0000000030;ingr_0000000291,train,"[513, 511, 189, 94, 11, 27, 525, 29, 133, 35, 25, 161, 126, 122, 124, 30, 291]",millet spinach (cooked) vinegar onions cheese pizza broccoli bok choy mixed greens shallots blue cheese beef olive oil mustard garlic walnuts lettuce salt
dish_1561392512,42.75,75.0,ingr_0000000013,train,[13],berries
dish_1564675118,177.188782,238.0,ingr_0000000161;ingr_0000000121;ingr_0000000437,train,"[161, 121, 437]",olive oil watermelon sweet potato
dish_1559319860,70.330002,13.0,ingr_0000000004,train,[4],bacon
dish_1559242568,116.116005,203.0,ingr_0000000213,train,[213],pears
dish_1563824339,85.339996,175.0,ingr_0000000094;ingr_0000000471;ingr_0000000012;ingr_0000000033,train,"[94, 471, 12, 33]",onions cherry tomatoes olives bell peppers
dish_1567021831,252.435623,228.0,ingr_0000000471;ingr_0000000312;ingr_0000000527;ingr_0000000514;ingr_0000000072;ingr_0000000126;ingr_0000000161;ingr_0000000122;ingr_0000000124;ingr_0000000520;ingr_0000000291;ingr_0000000049;ingr_0000000517;ingr_0000000201;ingr_0000000189;ingr_0000000515;ingr_0000000524;ingr_0000000133,train,"[471, 312, 527, 514, 72, 126, 161, 122, 124, 520, 291, 49, 517, 201, 189, 515, 524, 133]",cherry tomatoes pepper chive wheat berry kale mustard olive oil garlic walnuts lemon juice salt fish chard blueberries vinegar arugula parsley shallots
dish_1559846099,206.938995,114.0,ingr_0000000507;ingr_0000000077;ingr_0000000027,train,"[507, 77, 27]",mandarin oranges almonds broccoli
dish_1562873155,41.33675,79.0,ingr_0000000043;ingr_0000000161,train,"[43, 161]",green beans olive oil
dish_1562094621,10.54,34.0,ingr_0000000043,train,[43],green beans
dish_1563900150,202.2966,154.0,ingr_0000000437;ingr_0000000161;ingr_0000000008,train,"[437, 161, 8]",sweet potato olive oil scrambled eggs
dish_1562086702,178.529999,33.0,ingr_0000000004,train,[4],bacon
dish_1564429894,498.769836,566.0,ingr_0000000377;ingr_0000000291;ingr_0000000021;ingr_0000000116;ingr_0000000515;ingr_0000000524;ingr_0000000045;ingr_0000000472;ingr_0000000312;ingr_0000000514;ingr_0000000462;ingr_0000000448;ingr_0000000152;ingr_0000000133;ingr_0000000518;ingr_0000000161;ingr_0000000122;ingr_0000000520;ingr_0000000007,train,"[377, 291, 21, 116, 515, 524, 45, 472, 312, 514, 462, 448, 152, 133, 518, 161, 122, 520, 7]",quinoa salt squash mayonnaise arugula parsley carrot couscous pepper wheat berry pork jalapenos cabbage shallots thyme olive oil garlic lemon juice cauliflower
dish_1561662458,124.815498,119.0,ingr_0000000030;ingr_0000000367;ingr_0000000291;ingr_0000000029;ingr_0000000094;ingr_0000000031;ingr_0000000189;ingr_0000000205;ingr_0000000161;ingr_0000000312;ingr_0000000471,train,"[30, 367, 291, 29, 94, 31, 189, 205, 161, 312, 471]",lettuce lime salt mixed greens onions cucumbers vinegar corn on the cob olive oil pepper cherry tomatoes
dish_1558720364,73.839996,142.0,ingr_0000000054,train,[54],apple
dish_1559845290,66.220001,86.0,ingr_0000000005,train,[5],potatoes
dish_1559844506,98.959999,180.0,ingr_0000000507;ingr_0000000440;ingr_0000000002,train,"[507, 440, 2]",mandarin oranges grapes strawberries
dish_1560360055,362.734009,180.0,ingr_0000000039;ingr_0000000008,train,"[39, 8]",sausage scrambled eggs
dish_1567106825,220.200867,104.0,ingr_0000000525;ingr_0000000513;ingr_0000000035;ingr_0000000094;ingr_0000000126;ingr_0000000161;ingr_0000000133;ingr_0000000511;ingr_0000000029;ingr_0000000291;ingr_0000000025;ingr_0000000189;ingr_0000000122;ingr_0000000030;ingr_0000000124,train,"[525, 513, 35, 94, 126, 161, 133, 511, 29, 291, 25, 189, 122, 30, 124]",bok choy millet blue cheese onions mustard olive oil shallots spinach (cooked) mixed greens salt beef vinegar garlic lettuce walnuts
dish_1560453380,411.388397,480.0,ingr_0000000485;ingr_0000000023;ingr_0000000515;ingr_0000000043;ingr_0000000514;ingr_0000000516;ingr_0000000032;ingr_0000000028;ingr_0000000312;ingr_0000000512;ingr_0000000036;ingr_0000000021;ingr_0000000332;ingr_0000000518;ingr_0000000161;ingr_0000000521;ingr_0000000520;ingr_0000000524;ingr_0000000291;ingr_0000000122,train,"[485, 23, 515, 43, 514, 516, 32, 28, 312, 512, 36, 21, 332, 518, 161, 521, 520, 524, 291, 122]",zucchini brown rice arugula green beans wheat berry rosemary tomatoes chicken pepper kimchi spinach (raw) squash salmon thyme olive oil basil lemon juice parsley salt garlic
dish_1566849327,551.702026,362.0,ingr_0000000148;ingr_0000000029;ingr_0000000042;ingr_0000000012;ingr_0000000028,train,"[148, 29, 42, 12, 28]",parmesan cheese mixed greens avocado olives chicken
dish_1560527191,663.989319,318.0,ingr_0000000526;ingr_0000000031;ingr_0000000004;ingr_0000000013;ingr_0000000032;ingr_0000000122;ingr_0000000005;ingr_0000000291;ingr_0000000039;ingr_0000000126;ingr_0000000189;ingr_0000000036;ingr_0000000161,train,"[526, 31, 4, 13, 32, 122, 5, 291, 39, 126, 189, 36, 161]",mustard greens cucumbers bacon berries tomatoes garlic potatoes salt sausage mustard vinegar spinach (raw) olive oil
dish_1563898786,420.928467,344.0,ingr_0000000126;ingr_0000000161;ingr_0000000033;ingr_0000000027;ingr_0000000073;ingr_0000000291;ingr_0000000122;ingr_0000000008;ingr_0000000189;ingr_0000000031,train,"[126, 161, 33, 27, 73, 291, 122, 8, 189, 31]",mustard olive oil bell peppers broccoli radishes salt garlic scrambled eggs vinegar cucumbers
dish_1560973958,145.313232,121.0,ingr_0000000514;ingr_0000000161;ingr_0000000126;ingr_0000000082;ingr_0000000367;ingr_0000000291;ingr_0000000129;ingr_0000000312;ingr_0000000515;ingr_0000000058,train,"[514, 161, 126, 82, 367, 291, 129, 312, 515, 58]",wheat berry olive oil mustard pecans lime salt raisins pepper arugula orange
dish_1563206582,229.248688,320.0,ingr_0000000192;ingr_0000000128;ingr_0000000161;ingr_0000000437,train,"[192, 128, 161, 437]",yam egg whites olive oil sweet potato
dish_1565207815,40.848213,80.0,ingr_0000000016;ingr_0000000291;ingr_0000000312;ingr_0000000161,train,"[16, 291, 312, 161]",brussels sprouts salt pepper olive oil
dish_1568314823,144.0,90.0,ingr_0000000042,train,[42],avocado
